shift,delta,n_cell,is_observed
55858,-5.641509170939608e-05,182,False
120700,-0.000600937662838456,204,False
94791,0.00037338614916262146,218,False
74187,0.0002142905996740244,231,False
21723,0.0003969029609074613,206,False
58266,0.0008194916848430769,230,False
100857,0.00113787129126065,191,False
152590,0.001143038900778731,220,False
851,0.0011921020883695413,255,False
111033,-0.000777811374431275,229,False
130906,0.00012078541735845916,268,False
147113,0.0006023707758097858,210,False
65599,-0.00029973233581228036,188,False
18408,-0.0002573463928603546,212,False
41976,0.0006600818446009971,158,False
131555,0.0002779131977149866,264,False
135790,0.0007176794503522745,212,False
98562,0.0025352177897053694,231,False
19066,-0.00032307847942531864,193,False
18940,-0.0002568298382673378,164,False
74002,-0.0010642953488386152,196,False
91017,-0.00016145394322470848,203,False
5100,0.000412950990332705,198,False
106139,-2.1459174369546592e-05,167,False
84256,0.000570176041678985,277,False
1997,0.0009196820615274005,276,False
14884,0.00045880302539131213,201,False
70315,-0.0006045920763871466,141,False
111779,0.0006678938580152573,193,False
127670,0.000331188990467924,232,False
66758,-0.00047395295159408004,166,False
45746,-0.0006442808338761091,204,False
149759,0.0009454399186352834,197,False
70969,0.00036646557393290344,179,False
48842,-0.0003287761219868837,216,False
68460,0.00035064737335210297,169,False
1964,0.0013481727588820626,236,False
46762,0.0005594701907460215,209,False
79780,0.0003482290205280645,232,False
142051,0.0005360457792725045,217,False
