dataset_id,frequency,period,market_return,lagged_realized_volatility,historical_low_threshold,historical_high_threshold,volatility_regime
cmc_fixed62_historical_current,daily,2018-06-07 00:00:00+00:00,0.0027079945458636182,0.03668482578880438,,,
cmc_fixed62_historical_current,daily,2018-06-08 00:00:00+00:00,-0.010230518450282427,0.036727678792382465,,,
cmc_fixed62_historical_current,daily,2018-06-09 00:00:00+00:00,-0.014455282432957505,0.03670355646909727,,,
cmc_fixed62_historical_current,daily,2018-06-10 00:00:00+00:00,-0.12212177456732959,0.036142747669660025,,,
cmc_fixed62_historical_current,daily,2018-06-11 00:00:00+00:00,0.018525957945523464,0.039401382471795476,,,
cmc_fixed62_historical_current,daily,2018-06-12 00:00:00+00:00,-0.06557441389525252,0.03943727686309195,,,
cmc_fixed62_historical_current,daily,2018-06-13 00:00:00+00:00,-0.04010018092188515,0.039602650168030336,,,
cmc_fixed62_historical_current,daily,2018-06-14 00:00:00+00:00,0.06452536299332087,0.03992847837426657,,,
cmc_fixed62_historical_current,daily,2018-06-15 00:00:00+00:00,-0.044192637436552364,0.04209432240624709,,,
cmc_fixed62_historical_current,daily,2018-06-16 00:00:00+00:00,0.011374425308148696,0.0425661356881125,,,
cmc_fixed62_historical_current,daily,2018-06-17 00:00:00+00:00,-0.006323000498712647,0.042197901793888465,,,
cmc_fixed62_historical_current,daily,2018-06-18 00:00:00+00:00,0.03206211585971935,0.0417384642519582,,,
cmc_fixed62_historical_current,daily,2018-06-19 00:00:00+00:00,0.014355011583359998,0.042412941930360576,,,
cmc_fixed62_historical_current,daily,2018-06-20 00:00:00+00:00,-0.005694090781392423,0.04173156437788377,,,
cmc_fixed62_historical_current,daily,2018-06-21 00:00:00+00:00,-0.010030224792346868,0.04168209242578617,,,
cmc_fixed62_historical_current,daily,2018-06-22 00:00:00+00:00,-0.11534245735229234,0.040443936955756224,,,
cmc_fixed62_historical_current,daily,2018-06-23 00:00:00+00:00,0.0109613125008141,0.043038734418105504,,,
cmc_fixed62_historical_current,daily,2018-06-24 00:00:00+00:00,-0.01793482952309025,0.04266106294228156,,,
cmc_fixed62_historical_current,daily,2018-06-25 00:00:00+00:00,0.012899668984648702,0.04259813894878703,,,
cmc_fixed62_historical_current,daily,2018-06-26 00:00:00+00:00,-0.04587949228553802,0.042777286364286946,,,
cmc_fixed62_historical_current,daily,2018-06-27 00:00:00+00:00,0.01847684305552474,0.04333816182252256,,,
cmc_fixed62_historical_current,daily,2018-06-28 00:00:00+00:00,-0.04981218824747756,0.04214109687875742,,,
cmc_fixed62_historical_current,daily,2018-06-29 00:00:00+00:00,0.04558289659284531,0.040280563618839894,,,
cmc_fixed62_historical_current,daily,2018-06-30 00:00:00+00:00,0.03725401115700516,0.041549413699695247,,,
cmc_fixed62_historical_current,daily,2018-07-01 00:00:00+00:00,-0.001049451568735856,0.04207035459003735,,,
cmc_fixed62_historical_current,daily,2018-07-02 00:00:00+00:00,0.04852932818178114,0.04198425137740428,,,
cmc_fixed62_historical_current,daily,2018-07-03 00:00:00+00:00,-0.015826500160332366,0.04269698885886664,,,
cmc_fixed62_historical_current,daily,2018-07-04 00:00:00+00:00,0.010665945433376253,0.04233472489125777,,,
cmc_fixed62_historical_current,daily,2018-07-05 00:00:00+00:00,0.0009566483625058562,0.042459116780597696,,,
cmc_fixed62_historical_current,daily,2018-07-06 00:00:00+00:00,-0.0008579932827745993,0.042457895112327254,,,
cmc_fixed62_historical_current,daily,2018-07-07 00:00:00+00:00,0.030303492583457468,0.042467481920179864,,,
