term,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,model,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark
abs_market_return,0.23610360198111785,0.021843258880396,10.808991610359813,3.120816667431332e-27,0.193291601270557,0.2789156026916787,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return_sq,-0.058898216607622705,0.13824804720810963,-0.4260329009852932,0.6700838720974183,-0.3298594100685107,0.21206297685326533,standard_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return,0.007328809976969232,0.013841001615617896,0.5294999726536811,0.5964586633993672,-0.019799054699602546,0.034456674653541006,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
abs_market_return,0.8396560016900738,0.046418280347275624,18.0889079778104,3.897332874016719e-73,0.7486778439851302,0.9306341593950175,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return_sq,-1.8390756186645119,0.5150161643863633,-3.5709085380956,0.0003557451120305369,-2.848488752317744,-0.8296624850112797,no_intercept_csad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
const,0.001240354558307647,0.0005483861654592557,2.261826859306143,0.023708102690007917,0.00016553742438748294,0.002315171692227811,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return,0.6958227030524311,0.020381629588640926,34.13969918481035,1.9013422532770585e-255,0.6558754431124589,0.7357699629924033,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return_sq,-0.0720535849525541,0.24190075575688058,-0.2978642407590106,0.7658067815034492,-0.5461703540690601,0.402063184163952,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return_cu,-2.7145733102233005,0.6398374865491884,-4.242598108566141,2.2094689950203265e-05,-3.968631739818341,-1.46051488062826,scsad,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
const,0.02349473294303256,0.0006285778027683294,37.377605189936766,9.032019657235841e-306,0.02226274308812531,0.024726722797939808,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return,0.003853224078592047,0.011261162053443265,0.3421693125723084,0.7322234779261358,-0.018218247970225872,0.02592469612740997,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
abs_market_return,0.23550517813180993,0.021875127783788924,10.765888110895359,4.987830015475076e-27,0.19263071551837216,0.27837964074524774,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
market_return_sq,-0.04813181485200835,0.14085444771863223,-0.3417131345980314,0.7325667865317029,-0.3242014594428075,0.2279378297387908,intercept_restored,cmc_fixed62_historical_lagged,coinmarketcap,historical,fixed_survivor_62,lagged_size,daily,leave_one_out
