model,status,nobs,base_design_columns,interaction_coefficient,interaction_standardized_coefficient,interaction_t_stat,interaction_p_value,condition_number,dataset_id,provider,sample,universe_type,weighting_class,frequency,benchmark,metric,interaction_q_value_bh_fdr,interaction_supported
no_intercept_csad,not_identified,1826,,,,,,,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,active_assets,,False
scsad,not_identified,1826,,,,,,,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,active_assets,,False
standard_csad,estimated,1826,"const,abs_market_return,market_return_sq",-0.01849119764529371,-0.005242656549347072,-0.1386528347095144,0.8897244904334839,647.1285272300198,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,weight_hhi,0.8897244904334839,False
no_intercept_csad,estimated,1826,"market_return,abs_market_return,market_return_sq",-0.6440134466793065,-0.1825918136222062,-2.6242584603018315,0.008683786074344137,565.4842869992201,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,weight_hhi,0.026051358223032412,True
scsad,estimated,1826,"const,market_return,market_return_sq,market_return_cu",-5.175541895736501,-0.19633935711996536,-2.7833686418529164,0.005379764195048805,3592.4102412685384,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,weight_hhi,0.026051358223032412,True
standard_csad,estimated,1826,"const,abs_market_return,market_return_sq",-0.31901859122635234,-0.10410932715871006,-0.9627171801380562,0.3356894726433193,654.8519782954344,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,btc_weight,0.40282736717198314,False
no_intercept_csad,estimated,1826,"market_return,abs_market_return,market_return_sq",-0.8568670178213224,-0.2796321316163449,-2.166750108656277,0.03025391353436953,572.1037144680403,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,btc_weight,0.0453808703015543,True
scsad,estimated,1826,"const,market_return,market_return_sq,market_return_cu",-6.103863700601943,-0.26278916725989676,-2.257263756593873,0.023991598629526975,3423.382443442073,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,daily,baseline,btc_weight,0.0453808703015543,True
standard_csad,not_identified,261,,,,,,,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,baseline,active_assets,,False
no_intercept_csad,not_identified,261,,,,,,,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,baseline,active_assets,,False
scsad,not_identified,261,,,,,,,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,baseline,active_assets,,False
standard_csad,estimated,261,"const,abs_market_return,market_return_sq",0.15154329508457495,0.11945603944922695,1.6683095161867758,0.09525429981856506,135.8033058732318,binance_fixed14_lagged,binance,five_year,fixed_survivor_14,lagged_liquidity,weekly,baseline,weight_hhi,0.11342616676077383,False
