offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events_with_data
49,5.900115091483284e-05,3.622511142550422e-05,0.0029215473955086597,0.003156925376611834,827
50,-4.3854667536606765e-05,-7.616075607376088e-05,0.002877692727972053,0.003080764620538073,827
51,5.577430124646198e-05,8.398968570972427e-05,0.002933467029218515,0.003164754306247797,827
52,-3.2274538931729365e-05,5.772633575742635e-05,0.0029011924902867855,0.0032224806420052235,827
53,0.00011990072831339817,0.00019918957446474434,0.003021093218600184,0.0034216702164699677,827
54,1.4692853633437026e-05,-7.166014638400346e-05,0.0030357860722336205,0.0033500100700859644,827
55,-0.00010911619665574248,-0.00011199743603959209,0.0029266698755778782,0.0032380126340463724,827
56,3.308374379668445e-05,-4.606256953681239e-05,0.002959753619374563,0.00319195006450956,827
57,2.5286238399484776e-05,0.00010538245268403318,0.0029850398577740476,0.003297332517193593,827
58,8.304667422285446e-05,3.906626619284186e-06,0.003068086531996902,0.0033012391438128775,827
59,4.48069657869219e-05,4.373284713719669e-05,0.003112893497783824,0.003344971990950074,827
60,0.00019450094344283849,0.00011939062006593722,0.0033073944412266624,0.003464362611016011,827
