offset_minutes,avax_mean_log_ret,doge_mean_log_ret,avax_cum_from_event,doge_cum_from_event,n_events
48,3.1528748635626026e-05,9.359578375605946e-06,0.0021766900547718934,0.002465223984887749,1867
49,-3.087383987196796e-05,-1.1671965349380132e-05,0.002145816214899925,0.0024535520195383687,1867
50,-5.773251791550196e-05,-0.00010393542191250291,0.0020880836969844234,0.002349616597625866,1867
51,3.097411883032315e-05,3.129523123818816e-05,0.0021190578158147466,0.002380911828864054,1867
52,-1.861767070222441e-05,3.303343133139921e-05,0.002100440145112522,0.002413945260195453,1867
53,7.168816046012942e-05,0.00010275206886097993,0.0021721283055726515,0.002516697329056433,1867
54,5.3216427375610955e-05,3.354840000017261e-05,0.0022253447329482626,0.0025502457290566055,1867
55,-7.620299113438885e-05,-4.5425676903374925e-05,0.0021491417418138736,0.002504820052153231,1867
56,4.025626764370193e-05,1.472448872438849e-05,0.0021893980094575757,0.002519544540877619,1867
57,2.067474049397299e-06,4.42103105622638e-05,0.0021914654835069733,0.002563754851439883,1867
58,2.0882705244275103e-05,-1.5520091931223556e-05,0.0022123481887512484,0.0025482347595086594,1867
59,-6.042227648622689e-06,6.99033149210128e-07,0.0022063059611026254,0.0025489337926578697,1867
60,9.035765723652649e-05,3.4924926433274055e-05,0.002296663618339152,0.0025838587190911435,1867
