split,family,symbol,feature,observations,utc_day_clusters,coefficient,coefficient_bps,ci_lower,ci_upper,cluster_p_value,status
development,construct_aggressor,SOLUSDT,run_intensity_up,34945,365,-0.029909118235619373,,-0.03793041558809687,-0.021887820883141874,2.7085783679234475e-13,descriptive_no_family_decision
development,construct_aggressor,SOLUSDT,run_intensity_down,34945,365,0.02802057801906784,,0.02025010601700983,0.03579105002112584,1.5752864737511003e-12,descriptive_no_family_decision
development,construct_aggressor,SOLUSDT,run_intensity_zero,34945,365,0.003756492586147542,,-0.006241505319882918,0.013754490492178003,0.4614833785834618,descriptive_no_family_decision
development,construct_aggressor,XRPUSDT,run_intensity_up,34914,365,-0.021224591043296936,,-0.029277255004417878,-0.013171927082175995,2.392565397171789e-07,descriptive_no_family_decision
development,construct_aggressor,XRPUSDT,run_intensity_down,34914,365,0.02644517923769007,,0.018462088403650094,0.03442827007173005,8.432655602144447e-11,descriptive_no_family_decision
development,construct_aggressor,XRPUSDT,run_intensity_zero,34914,365,-0.00988725033129864,,-0.0170344349240188,-0.0027400657385784786,0.00670060174086332,descriptive_no_family_decision
development,future_excess_return,ADAUSDT,run_intensity_up,33087,365,-3.7617767018372735e-05,-0.37617767018372733,-0.0003906822918563609,0.0003154467578196154,0.8345831537214115,descriptive_no_family_decision
development,future_excess_return,ADAUSDT,run_intensity_down,33087,365,-0.00022356250959708942,-2.235625095970894,-0.0006315645190795762,0.00018443949988539735,0.2828443129406739,descriptive_no_family_decision
development,future_excess_return,ADAUSDT,run_intensity_zero,33087,365,0.0008639874571654378,8.639874571654378,-0.0012172597154500515,0.0029452346297809268,0.4158516702586179,descriptive_no_family_decision
development,future_excess_return,AVAXUSDT,run_intensity_up,32621,365,0.00011152077261814798,1.11520772618148,-0.0002722683917488704,0.0004953099369851664,0.5690013698924706,descriptive_no_family_decision
development,future_excess_return,AVAXUSDT,run_intensity_down,32621,365,-0.00022923374057403113,-2.2923374057403114,-0.0005198478542747498,6.13803731266876e-05,0.12210418905087388,descriptive_no_family_decision
development,future_excess_return,AVAXUSDT,run_intensity_zero,32621,365,-0.000115292592031331,-1.15292592031331,-0.0007590021245439084,0.0005284169404812465,0.7255565523770136,descriptive_no_family_decision
development,future_excess_return,BTCUSDT,run_intensity_up,34942,365,-1.4013509858944448e-06,-0.014013509858944447,-0.00014264145687535002,0.00013983875490356112,0.9844850753731729,descriptive_no_family_decision
development,future_excess_return,BTCUSDT,run_intensity_down,34942,365,-7.967999491703863e-05,-0.7967999491703863,-0.00023058887803763307,7.122888820355582e-05,0.30073320314467034,descriptive_no_family_decision
development,future_excess_return,BTCUSDT,run_intensity_zero,34942,365,0.00020285695584985075,2.0285695584985075,-7.891726557160921e-06,0.00041360563825686245,0.059218066381391314,descriptive_no_family_decision
development,future_excess_return,DOGEUSDT,run_intensity_up,34942,365,-0.0001263415662763029,-1.2634156627630289,-0.0003357245807501951,8.304144819758929e-05,0.2369514901731975,descriptive_no_family_decision
development,future_excess_return,DOGEUSDT,run_intensity_down,34942,365,9.222476401021104e-05,0.9222476401021105,-0.0001031116405613667,0.0002875611685817888,0.3547767599330752,descriptive_no_family_decision
development,future_excess_return,DOGEUSDT,run_intensity_zero,34942,365,-0.00024627358423718373,-2.462735842371837,-0.0005525814800136318,6.003431153926437e-05,0.11506635326427879,descriptive_no_family_decision
development,future_excess_return,ETHUSDT,run_intensity_up,34942,365,0.00013388267747362366,1.3388267747362366,-1.3238813241847478e-05,0.00028100416818909477,0.07448942044863915,descriptive_no_family_decision
development,future_excess_return,ETHUSDT,run_intensity_down,34942,365,-0.00015509098418181564,-1.5509098418181564,-0.00030809288848204796,-2.089079881583322e-06,0.04695285445919732,descriptive_no_family_decision
