phase,dgp,scenario,observations,assets,weighting,market_mean,market_std,market_skew,market_excess_kurtosis,csad_mean,csad_std,corr_csad_market,corr_csad_abs_market,mean_weight_hhi,max_weight,repetitions
robustness,stochastic_volatility_factor,n14_t2500_equal,2500,14,equal,-4.018361433725099e-05,0.02189582461226762,-0.013873529128633887,4.837431844643362,0.019473440181411738,0.011497028926089605,-0.002713090879619102,0.5041124979021034,0.07142857142857142,0.07142857142857144,300
robustness,stochastic_volatility_factor,n14_t250_equal,250,14,equal,9.91666100059283e-05,0.021524065345520937,0.0380648619138921,2.9168134419699525,0.01957753428772487,0.010431548417012274,0.006858844403932197,0.4604460824469623,0.07142857142857142,0.07142857142857144,300
robustness,stochastic_volatility_factor,n50_t1000_equal,1000,50,equal,2.9421593071418712e-05,0.0206568448020062,-0.004335894594775819,4.320278289862338,0.019805523155308178,0.010688888895813571,-0.0012294194106780066,0.5319455273273334,0.02000000000000001,0.02,300
robustness,stochastic_volatility_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,-6.759812453630087e-05,0.020690827598209553,0.002285994253408589,4.388208505078401,0.019897363109856174,0.010768867706721478,-0.00013558106546139457,0.530835613519817,0.025990852339840848,0.19076028474624127,300
robustness,stochastic_volatility_factor,n62_t1000_concentrated,1000,62,concentrated_static,1.320820907959559e-05,0.024149060098646726,-0.00997904381334798,4.466572253998025,0.021795352334372506,0.012199998687323892,-0.0030657327559491273,0.5702887518074069,0.20745901639344264,0.45,300
robustness,stochastic_volatility_factor,n62_t2500_equal,2500,62,equal,-1.83374450397698e-05,0.020775038550058595,0.0370053503585313,5.101712545022335,0.019904971430268967,0.010997668535311216,0.0022850849615499635,0.544098880842011,0.01612903225806452,0.01612903225806452,300
robustness,student_t_factor,n14_t1000_concentrated,1000,14,concentrated_static,1.1244947363660462e-05,0.021576021968270104,0.030238511107505032,2.6953671160245225,0.019631924663577223,0.006166199864351898,0.006693315965893872,0.2878871971893143,0.2257692307692309,0.4500000000000001,300
robustness,student_t_factor,n14_t1000_equal,1000,14,equal,-4.3919054145103356e-05,0.019125157054307545,0.019700183596227883,3.1812101957137764,0.018139052809470497,0.004697493032595643,0.0003115821060988841,0.11864941849154625,0.07142857142857142,0.07142857142857144,300
robustness,student_t_factor,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,-1.5301064251609077e-05,0.019508473495693048,0.024904323986651402,2.712625795826875,0.018331843208353765,0.004826209344548859,4.1404947720762374e-05,0.13322730164605354,0.09021643908341276,0.3737194911020114,300
robustness,student_t_factor,n14_t2500_equal,2500,14,equal,2.871013818029006e-05,0.019184192646792348,-0.004430196983033427,3.5507149223520553,0.01812367617253353,0.004678813909361475,0.0011515588965941115,0.1181398878304996,0.07142857142857142,0.07142857142857144,300
robustness,student_t_factor,n14_t250_equal,250,14,equal,-9.065038148745677e-05,0.019131699375141423,0.004174416320207983,2.8883421577653703,0.01812630164588055,0.004695839703406535,-0.00789518384937655,0.11346507155925184,0.07142857142857142,0.07142857142857144,300
robustness,student_t_factor,n50_t1000_equal,1000,50,equal,-3.4365891642004324e-05,0.018308966009031685,-0.00902210136398713,4.720397087039896,0.018496410540883287,0.002491800060370776,0.0008952466316945698,0.19021045932366057,0.02000000000000001,0.02,300
robustness,student_t_factor,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,-1.4048897700816946e-05,0.018394370404088735,-0.02099045840085081,4.0582985128883475,0.018560314108219466,0.002508361267138787,-0.002183148744534906,0.1834415895802718,0.025990605593354203,0.18500008680562552,300
robustness,student_t_factor,n62_t1000_concentrated,1000,62,concentrated_static,6.831879985100971e-06,0.0213196518894413,0.014020180493122899,3.007591587327228,0.020496851879062975,0.004651031913156464,-0.008470788697349227,0.38311767094142896,0.20745901639344264,0.45,300
robustness,student_t_factor,n62_t2500_equal,2500,62,equal,-2.696485107833728e-06,0.01827789638281073,-0.011618815440535276,4.213616355466029,0.018520196335563573,0.0022423283938624783,-0.0006315169597925638,0.20690985000718276,0.01612903225806452,0.01612903225806452,300
robustness,time_varying_correlation,n14_t1000_concentrated,1000,14,concentrated_static,6.537430897787239e-07,0.021255493043008136,0.0012075968642880261,0.09914363783722359,0.019713115891362615,0.004982858616571809,-0.0011838894017850248,0.08405522493737543,0.2257692307692309,0.4500000000000001,300
robustness,time_varying_correlation,n14_t1000_equal,1000,14,equal,-1.4187007568859374e-05,0.019130638424492172,-0.003017976939540103,0.17183944166305362,0.018370162483036172,0.004171024086023329,0.0003257091738882552,-0.06207372632460469,0.07142857142857142,0.07142857142857144,300
robustness,time_varying_correlation,n14_t1000_lagged,1000,14,lagged_lognormal_liquidity,1.5729295281386915e-05,0.019367814196427774,0.0036576434564207973,0.1734735086505849,0.018541678636150537,0.004236655463492028,-0.0008805809367215102,-0.04735652773527416,0.09027932161546917,0.38143735251082816,300
robustness,time_varying_correlation,n14_t2500_equal,2500,14,equal,3.263426887931103e-05,0.019093664748356647,-0.0042324221814944414,0.2013523521194007,0.01837794717169912,0.004195092352963666,0.00042615821061151786,-0.06684811634147529,0.07142857142857142,0.07142857142857144,300
robustness,time_varying_correlation,n14_t250_equal,250,14,equal,-7.245959417200417e-05,0.019083956764120107,-0.004073840063003172,0.18296220268009858,0.018313916901141005,0.004096873222474611,0.0055730153287621605,-0.049011792195350345,0.07142857142857142,0.07142857142857144,300
robustness,time_varying_correlation,n50_t1000_equal,1000,50,equal,-4.92946351304944e-06,0.018308257340605934,0.0015121871246304242,0.2518081593382835,0.018864648006504108,0.0026498598662441906,0.0016842977585093304,-0.11885682777711708,0.02000000000000001,0.02,300
robustness,time_varying_correlation,n50_t1000_lagged,1000,50,lagged_lognormal_liquidity,5.574126581673491e-06,0.01833927618274055,0.0004205577040616068,0.24215462851128589,0.018985903477789615,0.0026498819546276033,-0.0004387936187450155,-0.11814289567428254,0.025989648199066764,0.19129679349142953,300
robustness,time_varying_correlation,n62_t1000_concentrated,1000,62,concentrated_static,5.405252047521391e-05,0.021084701414921064,-0.0036697267752073374,0.1032004647351482,0.020640102637129964,0.0036443032985379077,0.0009880174087863148,0.1186839145798978,0.20745901639344264,0.45,300
robustness,time_varying_correlation,n62_t2500_equal,2500,62,equal,-1.206383003401386e-05,0.01818530388339152,0.0012086393508203266,0.260367647874038,0.018943555701958353,0.0025039484463560743,-0.00025132851786205667,-0.13207632930818827,0.01612903225806452,0.01612903225806452,300
