symbol,bucket_start,transaction_count_quintile,zero_tick_share_quintile,liquidity_quintile,transaction_count,zero_ticks,zero_runs,sampling_weight
SOLUSDT,2025-04-20 08:15:00+00:00,3,5,3,2484,1675,440,40.7625
XRPUSDT,2025-04-20 10:45:00+00:00,4,4,4,5364,3298,1022,14.8625
XRPUSDT,2025-04-20 14:00:00+00:00,3,3,3,1813,897,397,62.125
ADAUSDT,2025-04-20 19:30:00+00:00,1,4,1,271,153,67,104.5375
ADAUSDT,2025-04-20 20:15:00+00:00,2,4,1,952,546,225,52.55
BTCUSDT,2025-04-20 22:00:00+00:00,4,1,4,6824,1645,598,46.3875
BTCUSDT,2025-04-20 22:30:00+00:00,3,1,3,3228,841,320,1.0
BTCUSDT,2025-04-20 22:45:00+00:00,3,1,3,2804,803,355,1.0
BTCUSDT,2025-04-20 23:30:00+00:00,4,1,4,5133,1048,443,46.3875
XRPUSDT,2025-04-21 00:15:00+00:00,5,5,5,8920,5716,1595,1.5875
XRPUSDT,2025-04-21 02:30:00+00:00,4,5,4,4127,2626,672,7.4375
SOLUSDT,2025-04-21 04:00:00+00:00,3,5,4,2966,2007,478,40.7625
ETHUSDT,2025-04-21 10:30:00+00:00,5,2,5,9342,3378,1028,22.9625
SOLUSDT,2025-04-21 10:45:00+00:00,2,4,3,1724,938,386,69.175
SOLUSDT,2025-04-21 11:30:00+00:00,3,3,4,2425,1226,562,43.7
DOGEUSDT,2025-04-21 13:00:00+00:00,3,3,2,2434,1284,475,36.4125
SOLUSDT,2025-04-21 14:00:00+00:00,4,4,4,4937,2704,1035,52.7875
XRPUSDT,2025-04-21 15:00:00+00:00,3,2,3,2631,997,575,48.225
AVAXUSDT,2025-04-21 16:45:00+00:00,2,5,2,946,648,177,51.5625
ADAUSDT,2025-04-21 17:00:00+00:00,4,5,3,3895,2625,751,4.225
BTCUSDT,2025-04-21 17:15:00+00:00,5,1,5,21777,3726,1631,173.075
ADAUSDT,2025-04-21 17:30:00+00:00,2,4,2,1144,652,272,52.55
ETHUSDT,2025-04-21 18:45:00+00:00,5,2,4,9872,3014,883,22.9625
DOGEUSDT,2025-04-21 21:30:00+00:00,2,3,3,995,473,198,66.0875
SOLUSDT,2025-04-21 22:15:00+00:00,2,3,3,1249,652,302,16.0375
ETHUSDT,2025-04-22 00:00:00+00:00,4,1,4,6386,1854,745,106.55
SOLUSDT,2025-04-22 01:30:00+00:00,3,3,4,3214,1586,729,43.7
DOGEUSDT,2025-04-22 02:00:00+00:00,3,2,2,1762,781,388,69.6875
DOGEUSDT,2025-04-22 05:30:00+00:00,2,4,2,1331,746,282,20.825
AVAXUSDT,2025-04-22 06:00:00+00:00,1,5,1,272,183,53,225.225
DOGEUSDT,2025-04-22 07:00:00+00:00,3,4,3,2136,1254,406,10.075
ADAUSDT,2025-04-22 07:15:00+00:00,1,4,1,463,271,104,104.5375
DOGEUSDT,2025-04-22 07:15:00+00:00,4,4,4,4162,2250,840,3.7875
DOGEUSDT,2025-04-22 07:45:00+00:00,3,3,2,2436,1201,536,36.4125
ADAUSDT,2025-04-22 08:00:00+00:00,3,5,2,1751,1110,371,15.725
ADAUSDT,2025-04-22 09:15:00+00:00,2,4,2,1231,726,270,52.55
XRPUSDT,2025-04-22 10:00:00+00:00,3,3,3,1766,945,389,62.125
ETHUSDT,2025-04-22 13:00:00+00:00,5,1,5,12075,2762,1358,232.8125
BTCUSDT,2025-04-22 14:00:00+00:00,5,2,5,27898,9325,2852,57.2
DOGEUSDT,2025-04-22 14:45:00+00:00,5,3,5,10384,5181,1958,3.625
ADAUSDT,2025-04-22 15:00:00+00:00,4,4,3,5219,3021,1113,6.0125
AVAXUSDT,2025-04-22 15:00:00+00:00,5,5,4,7850,6061,1065,1.0
SOLUSDT,2025-04-22 15:15:00+00:00,4,3,5,7261,3849,1632,26.9375
XRPUSDT,2025-04-22 15:15:00+00:00,5,4,5,11643,6340,2174,4.1125
AVAXUSDT,2025-04-22 15:30:00+00:00,4,5,3,3489,2822,421,3.15
SOLUSDT,2025-04-22 15:30:00+00:00,5,5,5,9820,6240,1773,8.275
ADAUSDT,2025-04-22 21:45:00+00:00,5,3,4,8317,3940,1497,1.0
DOGEUSDT,2025-04-22 22:45:00+00:00,4,3,4,5534,2684,1066,16.275
XRPUSDT,2025-04-23 01:45:00+00:00,4,4,4,4500,2568,840,14.8625
ADAUSDT,2025-04-23 02:30:00+00:00,2,4,2,1353,769,302,52.55
DOGEUSDT,2025-04-23 03:30:00+00:00,3,2,3,2249,962,465,69.6875
DOGEUSDT,2025-04-23 04:00:00+00:00,3,2,2,2122,904,439,69.6875
XRPUSDT,2025-04-23 04:30:00+00:00,3,4,3,2626,1598,480,28.8375
SOLUSDT,2025-04-23 05:15:00+00:00,4,3,4,3549,1897,806,26.9375
ETHUSDT,2025-04-23 06:15:00+00:00,5,2,5,9081,2983,1083,22.9625
DOGEUSDT,2025-04-23 07:45:00+00:00,4,4,2,4629,2601,879,3.7875
DOGEUSDT,2025-04-23 10:00:00+00:00,4,3,3,4809,2339,972,16.275
SOLUSDT,2025-04-23 12:15:00+00:00,3,3,4,2956,1582,672,43.7
